run_id,k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
664,0.7424242424242424,0.5555555555555556,0.00341,0.00018466185312619387,0.00242,0.00015556349186104045
665,0.7424242424242424,0.5740740740740741,0.00337,0.0001835755975068582,0.00238,0.00015427248620541512
666,0.7424242424242424,0.5925925925925926,0.00331,0.00018193405398660254,0.00231,0.00015198684153570663
667,0.7424242424242424,0.6111111111111112,0.00326,0.0001805547008526779,0.0023,0.000151657508881031
668,0.7424242424242424,0.6296296296296297,0.00319,0.0001786057109949175,0.00224,0.00014966629547095766
669,0.7424242424242424,0.6481481481481481,0.00317,0.00017804493814764857,0.00221,0.00014866068747318507
670,0.7424242424242424,0.6666666666666666,0.00314,0.00017720045146669348,0.00218,0.000147648230602334
671,0.7424242424242424,0.6851851851851851,0.00312,0.00017663521732655694,0.00214,0.00014628738838327792
672,0.7424242424242424,0.7037037037037037,0.00308,0.00017549928774784245,0.00212,0.00014560219778561037
673,0.7424242424242424,0.7222222222222222,0.00306,0.000174928556845359,0.00211,0.0001452583904633395
674,0.7424242424242424,0.7407407407407407,0.00301,0.00017349351572897473,0.00211,0.0001452583904633395
675,0.7424242424242424,0.7592592592592593,0.00299,0.00017291616465790584,0.0021,0.00014491376746189437
676,0.7424242424242424,0.7777777777777778,0.00295,0.00017175564037317666,0.00208,0.00014422205101855958
677,0.7424242424242424,0.7962962962962963,0.00293,0.0001711724276862369,0.00206,0.00014352700094407323
678,0.7424242424242424,0.8148148148148148,0.00288,0.0001697056274847714,0.00201,0.00014177446878757826
679,0.7424242424242424,0.8333333333333333,0.00284,0.00016852299546352717,0.00199,0.00014106735979665884
680,0.7424242424242424,0.8518518518518519,0.00282,0.00016792855623746665,0.00195,0.0001396424004376894
681,0.7424242424242424,0.8703703703703703,0.00276,0.0001661324772583615,0.00192,0.0001385640646055102
682,0.7424242424242424,0.8888888888888888,0.0027,0.00016431676725154983,0.0019,0.00013784048752090222
683,0.7424242424242424,0.9074074074074074,0.00267,0.0001634013463836819,0.00188,0.00013711309200802087
684,0.7424242424242424,0.9259259259259259,0.00265,0.00016278820596099706,0.00188,0.00013711309200802087
685,0.7424242424242424,0.9444444444444444,0.00259,0.00016093476939431082,0.00185,0.00013601470508735444
686,0.7424242424242424,0.9629629629629629,0.00258,0.0001606237840420901,0.00184,0.00013564659966250537
687,0.7424242424242424,0.9814814814814814,0.00256,0.00016,0.0018,0.00013416407864998739
688,0.7424242424242424,1.0,0.00251,0.0001584297951775486,0.00176,0.00013266499161421598
689,0.7424242424242424,1.0185185185185186,0.00247,0.0001571623364550171,0.00175,0.00013228756555322952
690,0.7424242424242424,1.037037037037037,0.00245,0.00015652475842498528,0.00172,0.00013114877048604
691,0.7424242424242424,1.0555555555555556,0.00241,0.00015524174696260025,0.0017,0.00013038404810405298
692,0.7424242424242424,1.074074074074074,0.0024,0.0001549193338482967,0.0017,0.00013038404810405298
693,0.7424242424242424,1.0925925925925926,0.00236,0.00015362291495737217,0.0017,0.00013038404810405298
694,0.7424242424242424,1.1111111111111112,0.00232,0.00015231546211727818,0.0017,0.00013038404810405298
695,0.7424242424242424,1.1296296296296295,0.00226,0.00015033296378372908,0.00168,0.0001296148139681572
696,0.7424242424242424,1.1481481481481481,0.00222,0.0001489966442575134,0.00165,0.0001284523257866513
697,0.7424242424242424,1.1666666666666665,0.00218,0.000147648230602334,0.00162,0.00012727922061357857
698,0.7424242424242424,1.1851851851851851,0.00217,0.00014730919862656234,0.00162,0.00012727922061357857
699,0.7424242424242424,1.2037037037037037,0.00215,0.0001466287829861518,0.0016,0.00012649110640673518
700,0.7424242424242424,1.2222222222222223,0.00213,0.00014594519519326425,0.0016,0.00012649110640673518
